,ID,Sentence,disease
3294,350,"A female participant is eligible to participate if she is not pregnant, not breastfeeding, and at least one of the following conditions applies",{''}
3295,356,Alanine aminotransferase (ALT) and aspartate aminotransferase (AST) ≤ 2.5 × ULN except for subjects with liver mets for whom ALT and AST should be ≤ 5× ULN,{'liver met'}
3296,358,Life expectancy of ≥ 12 weeks as estimated by the treating physician.,{''}
3297,361,Confirmed by self-report on Health History Questionnaire,{''}
3298,362,Absolute neutrophil count ≥ 1.5 × 10\^9/L (within 7 days of study treatment initiation),{''}
3299,364,Patients with a prior or concurrent malignancy whose natural history or treatment does not have the potential to interfere with the safety or efficacy assessment of the investigational regimen,"{'ma, ##li ##gna ##ncy'}"
3300,367,Willingness to refrain from blood donation during participation in the study and for at least 1 year after receiving the second dose of vaccine.,{''}
3301,371,REGISTRATION INCLUSION CRITERIA,{''}
3302,385,"For premenopausal women, a negative serum pregnancy test must be confirmed within 7 days before the first dose, and they must agree to use effective contraception during the study drug administration period and for 120 days after the last dose.",{''}
3303,391,People with prior clinical pharmacogenetic test results for genes relevant for the study in which they will enroll (CYP2D6 for the pain studies and CYP2D6 or CYP2C19 for depression) or already enrolled in an ADOPT PGx trial,"{'pain, depression'}"
3304,399,Past 30-day suicidal behavior,{'su'}
3305,415,Pregnancy or breastfeeding,{''}
3306,416,Resides within the United States,{''}
3307,421,Individual with a valid United States mailing address. -,{''}
3308,425,"iii. Able to understand the requirements of the study and sign Informed Consent/HIPAA Authorization forms. Subjects under the legal age of consent in the state where the study is conducted must also have the written, informed consent of a parent or legal guardian.",{''}
3309,426,"Individual (and/or his/her legally acceptable representative, as applicable) has signed the Consent for Photograph Release and ICD (and/or Assent Document, as applicable) including Health Insurance Portability and Accountability Act (HIPAA) disclosure.",{''}
3310,432,Patients must have a contraindication to cisplatin as defined in the following bullet points. Sites must complete the online tool at comogram.org prior to registration to determine if the patient is eligible. The scores must be recorded on a case report form (CRF). (Refer to data submission table on the NRG-HN008 protocol page on the NRG website);,{''}
3311,434,"Informed Consent All patients and/or their parents or legally authorized representatives must sign a written informed consent. Assent, when appropriate, will be obtained according to institutional guidelines.",{''}
3312,440,AST and ALT ≤ 3.0x ULN,{''}
3313,442,Adequately controlled blood pressure (BP) with or without antihypertensive medications.,{''}
3314,457,The patient has a smartphone and can use it.,{''}
3315,458,<!-- -->,{''}
3316,476,"A female of child-bearing potential is any woman (regardless of sexual orientation, having undergone a tubal ligation, or remaining celibate by choice) who meets the following criteria Has not undergone a hysterectomy or bilateral oophorectomy; or has not been naturally postmenopausal for at least 12 consecutive months (i.e., has had menses at any time in the preceding 12 consecutive months)",{'h'}
3317,482,Absolute neutrophil count 1500/ml (growth factors are not allowed within 2 weeks prior to screening assessment),{''}
3318,513,Willingness to participate in the trial for 4 years.,{''}
3319,523,At least one lesion (measurable and/or non-measurable) that can be accurately assessed at baseline by CT and is suitable for repeated assessment.,{''}
3320,528,Bilirubin ≤ 1.5 × ULN (unless elevated bilirubin due to leukemic involvement in the liver or Gilbert's disease),"{""le ##uke ##mic involvement in the liver, Gilbert ' s disease""}"
3321,547,Participant has adequate visual and auditory abilities to perform all aspects of the cognitive and clinical assessments.,{''}
3322,549,"Women of childbearing age must undergo a pregnancy test (serum or urine) with a negative result within 14 days before enrollment, and voluntarily use appropriate methods of contraception during the observation period and within 8 weeks after the last administration of the study drug; For males, surgical sterilization or agreement to use appropriate methods of contraception during observation and within 8 weeks after the last administration of study medication should be considered;",{''}
3323,559,Myelosuppressive systemic therapy At least 21 days must have elapsed after the last systemic myelosuppressive therapy.,{''}
3324,566,"MYCN amplification, regardless of additional biologic features Patients must have undergone chemotherapy and surgery for high-risk neuroblastoma prior to enrollment on trial.",{'ne ##uro ##blast ##oma'}
3325,569,Aspartate aminotransferase (AST) ≤ 2.5 × ULN,{''}
3326,4,Final eligibility criteria at 2 months postoperative for randomization include,{''}
3327,10,"Family history of breast cancer (first degree relative with breast cancer), or, positive genetic testing for any deleterious genes that indicate an increased risk for breast cancer, or","{'breast cancer, breast cancer, breast cancer'}"
3328,14,Total bilirubin =\< 1.5 X ULN OR direct bilirubin =\< ULN for subjects with total bilirubin levels \> 1.5 X ULN (performed within 14 days of treatment initiation),{''}
3329,23,Aspartate aminotransferase and alanine transaminase ≤ 2.5 × ULN (≤ 5 × ULN for participants with liver metastases),{''}
3330,27,"This would not include changes to any insulin doses, including basal rates/long acting insulin doses, carbohydrate to insulin ratios and correction factors",{''}
3331,44,Ambulatory without assistance,{''}
3332,47,"Participant is receiving stable doses of medication(s) for the treatment of non-excluded medical condition(s) for at least 30 days prior to baseline visit (V2) except for medications taken for episodic conditions (e.g., migraine abortive therapy, antibiotics, and other medications for upper respiratory and gastrointestinal ailments).","{'e, ##pis ##od ##ic conditions, mi ##gra ##ine, upper respiratory and gas ##tro ##int ##est ##inal a ##il ##ments'}"
3333,49,"Platelet ≥ 100 X 109/L (\>100,000 per mm\^3)",{''}
3334,58,Total bilirubin ≤ 1.5 x institutional upper limit of normal (ULN).,{''}
3335,64,"In the event of suspected autism diagnosis, the presence of elevated autism symptoms on the Social Responsiveness Scale-2nd Edition or the Autism Diagnostic Observation Scale-2nd Edition","{'autism, autism, Au'}"
3336,73,Eastern Cooperative Oncology Group performance status (ECOG PS) of 0 or 1.,{''}
3337,74,"All institutional, Food and Drug Administration (FDA), and National Cancer Institute (NCI) requirements for human studies must be met.",{''}
3338,76,Pregnant or breastfeeding individuals.,{''}
3339,94,For cross sectionals,{''}
3340,98,Patients may have had surgical resection of some or all sites of hepatoblastoma prior to enrollment,"{'he, ##pa ##to ##blast ##oma'}"
3341,118,"Prior external beam radiotherapy is allowed. For participants with disease limited to a prior radiotherapy field, this must be considered measurable per RECIST v1.1.",{''}
3342,122,"\< 30 mL/min per 1.73 m\^2 and not on hemodialysis, with approximately 50 percent of participants to have eGFR ≤ 20 mL/min per 1.73 m\^2 for participants with severe renal impairment",{'re ##nal imp ##air'}
3343,130,"If participant is female with reproductive potential, she must have a negative pregnancy test at screening and be willing to avoid pregnancy using a highly-effective contraceptive method for the duration of the study",{''}
3344,139,"- Participants are to be Chinese, defined as having both parents and 4 grandparents who are Chinese.",{''}
3345,147,Male patients aged 20 to under 75 at the time of obtaining written consent.,{''}
3346,148,"In accordance with CCTG policy, protocol treatment is to begin within 5 working days of participant enrollment.",{''}
3347,151,The subjects with positive CDLN18.2 expression in tumor tissue confirmed by the central laboratory will be enrolled as follows,{'tumor'}
3348,159,Creatinine =\< 1.5 ULN OR creatinine clearance \>= 50 mL/min/1.73 m\^2 for patients with creatinine levels above institutional normal,{''}
3349,161,Lactating females must agree to discontinue nursing before starting study drug.,{''}
3350,162,Lipase ≤ 1.5 x ULN,{''}
3351,185,Modified Ross criteria class 1 and an LVFS \> 25% or an LVEF ≥ 50%.,{''}
3352,187,Availability of ability to swallow tablets,{''}
3353,189,Adrenal coertex carcinoma,{'Ad ##rena ##l co ##ert ##ex car ##cin ##oma'}
3354,190,Male patients must be willing to use barrier contraception,{''}
3355,197,People with prior clinical pharmacogenetic test results for genes relevant for the study in which they will enroll (CYP2D6 for the pain studies and CYP2D6 or CYP2C19 for depression) or already enrolled in an ADOPT PGx trial,"{'pain, depression'}"
3356,200,"End-stage glaucoma not allowing visual recovery post-operatively (for this study, we accept patients who have had filtering surgery for glaucoma, which is stabilized at the time of surgery. Decline in vision must be clearly attributable to endothelial decompensation)","{'End - stage g ##lau ##com ##a, g ##lau ##com ##a, end ##oth ##eli ##al de ##com ##pen ##sation'}"
3357,204,"Receiving chronic opioid therapy, defined as use of opioids on most days for \>3 months",{''}
3358,205,Had impaired hepatic function as defined by the Child-Pugh classification for severity of liver disease and had a Child-Pugh score in line with one of the following HI groups at Screening,{'liver disease'}
3359,221,"Platelet Count (PLT) ≥ 100,000 per mm3",{''}
3360,229,"For men agreement to remain abstinent (refrain from heterosexual intercourse) or use contraceptive measures, and agreement to refrain from donating sperm.",{''}
3361,234,"Renal function creatinine (Cr) ≤1.5 ULN, or creatinine clearance (Ccr) ≥50 mL/min (according to Cockcroft and Gault formula).",{''}
3362,258,Leukemic phase of disease,{'Le ##uke ##mic'}
3363,259,"Patients must have a performance status corresponding to Eastern Cooperative Oncology Group (ECOG) scores of 0, 1 or 2. Use Karnofsky for patients \> 16 years of age and Lansky for patients =\< 16 years of age",{''}
3364,261,"Baseline hematology, clinical chemistry, urinalysis, prothrombin time/partial thromboplastin time (PT/PTT) and viral serologies for human immunodeficiency virus (HIV), hepatitis C virus (HCV), and hepatitis B surface antigen (HBsAg) all within normal limits OR accepted by the investigator and medical monitor as not clinically significant.","{'human im ##mu ##no ##de ##ficiency virus, HIV, he ##pa ##titis C virus, HC ##V, he ##pa ##titis B'}"
3365,265,Baseline ejection fraction ≥50% by MUGA scan or echocardiogram performed ≤60 days prior to registration.,{''}
3366,277,Normal renal function,{''}
3367,281,L597Q/V/S,{''}
3368,293,Gold,{''}
3369,309,"Platelet count ≥ 100,000/mm3",{''}
3370,326,"Serum total bilirubin \<2.0 mg/dL or direct bilirubin ≤30% of the total, unless the patient has Gilbert's syndrome, where direct bilirubin should then be \<2.0 mg/dL,","{""Gilbert ' s syndrome""}"
3371,327,NOTE Patients whose sole site of disease is regional lymph node involvement of the parotid LN basin are not eligible for this neoadjuvant study.,{''}
3372,328,"Access to a mobile device, laptop or desktop computer with internet access and Bluetooth.",{''}
3373,337,"Agree to participate and sign the informed consent form by the legal guardian. Due to the subject's limited cognitive ability and other reasons, the subject's signature is allowed to be left blank, and the reason is explained. In addition, the legal guardian shall sign the reason statement, and the legal guardian shall sign the informed consent.",{''}
3374,340,All patients of childbearing potential must have a serum or urine study with a sensitivity of at least 25 mIU/mL within 14 days prior to registration to rule out pregnancy and again within 24 hours prior to starting cycle 1 day 1 of treatment.,{''}
3375,343,Blood chemistry laboratory value for serum creatinine \< 1.5 x ULN (test to be performed within \<4 weeks of biopsy),{''}
3376,344,May be male or female.,{''}
3377,346,"No more than 12 months from the date of starting the first induction chemotherapy after diagnosis to the date of ASCT except for the rare occasions as noted below; for tandem ASCT patients, this will be the date of the FIRST stem cell infusion; exception for those who are initially diagnosed as non-high risk neuroblastoma, but later converted (and/or relapsed) to high risk neuroblastoma, the 12 months restriction should start from the date of induction therapy for high risk neuroblastoma (not from the initial induction therapy for non-high risk disease), to the date of ASCT","{'AS ##CT, ne ##uro ##blast ##oma, ne ##uro ##blast ##oma, ne ##uro ##blast ##oma'}"
3378,347,For patients enrolled in Arm B (first stage of phase II of TRC102 and pemetrexed) measurable disease is required according to the Response Evaluation Criteria in Solid Tumors (RECIST) criteria for patients with solid tumors and modified RECIST criteria as described by Byrne and Novak for patients with malignant pleural mesothelioma; pleural effusion and ascites are not considered measurable disease,"{'Solid Tu ##mor, solid tumors, ma, ##li ##gnant p ##le ##ural me ##so ##the ##lio ##ma, p, ##le ##ural e ##ff, as'}"
3379,350,Not a women of child-bearing potential (WOCBP) or,{''}
3380,356,International Normalized Ratio (INR) or prothrombin time (PT) ≤ 1.5 × ULN unless subject is receiving anticoagulant therapy as long as PT or partial thromboplastin time (PTT) is within therapeutic range of intended use of anticoagulants,{''}
3381,358,"Resolution of all acute, reversible toxic effects of prior therapy or surgical procedure to Grade ≤1 (except alopecia and peripheral neuropathy to Grade ≤2).","{'al ##ope ##cia, peripheral ne ##uro ##pathy'}"
3382,361,Home internet sufficient for videoconferencing,{''}
3383,362,No transfusions with red blood cells or platelets are allowed within 1 week prior to screening assessment,{''}
3384,364,"Patients must be accessible for treatment and follow-up. Investigators must assure themselves the patients randomized on this trial will be available for complete documentation of the treatment, adverse events, and follow-up",{''}
3385,367,Willingness to refrain from receiving vaccines or other investigational products during the first 90 days of the study after enrollment.,{''}
3386,371,"Serum or plasma HCV RNA level \>= 10,000 IU/mL",{''}
3387,385,Compliance with the trial schedule and follow-up procedures,{''}
3388,391,Chronic Pain,{'Ch Pain'}
3389,399,Use of continuous positive airway pressure (CPAP) device for sleep apnea,{'sleep a ##p ##nea'}
3390,415,Non-liver cancers (we will include certain patients with primary liver cancer as detailed below),"{'Non - liver cancer, liver cancer'}"
3391,416,Self-reported medical insurance which can be in or out of network with MSK,{''}
3392,426,"Subject must avoid sun exposure, or use sunscreen if sun exposure is unavoidable.",{''}
3393,432,"Age \>= 70 with moderate to severe comorbidity, defined as having one or more of the following conditions within 30 days prior to registration;",{''}
3394,434,Enrollment timeline Patients are eligible to enroll on the TarGeT-SCR anytime between diagnosis and the following specific timepoints post completion of RT,{''}
3395,440,Albumin ≥ 3.5 g/dL,{''}
3396,442,Human immunodeficiency virus (HIV)-infected participants must have well controlled HIV on anti-retroviral therapy (ART).,"{'Human im ##mu ##no ##de ##ficiency virus, HIV, HIV'}"
3397,458,Serum total bilirubin ≤1.5 x ULN. Note 1 Total bilirubin \>1.5 x ULN is allowed if direct (conjugated) ≤1.5 x ULN and indirect (unconjugated) bilirubin is ≤4.25 x ULN.,{''}
3398,476,Ability to understand and the willingness to sign a written informed consent,{''}
3399,482,"Platelets 75,000/ml",{''}
3400,513,Interested in wearing contact lenses for approximately 10 hours per day and 6 days per week.,{''}
3401,528,Ability to understand and willingness to sign the informed consent.,{''}
3402,547,"If participant is receiving stable doses of medication(s) for the treatment of non-excluded medical condition(s) for at least 30 days prior to baseline visit (V2) except for medications taken for episodic conditions (e.g., migraine abortive therapy, antibiotics, and other medications for upper respiratory and gastrointestinal ailments).","{'e, ##pis ##od ##ic conditions, mi ##gra ##ine, upper respiratory and gas ##tro ##int ##est ##inal a ##il ##ments'}"
3403,549,"Comply with the scheduled visits, treatment plans, laboratory tests, and other requirements of the study;",{''}
3404,559,Surgery At least 6 weeks must have elapsed since surgery.,{''}
3405,566,Age at time of enrollment of ≥1 month and ≤18 years,{''}
3406,569,Alanine aminotransferase (ALT) ≤ 2.5 × ULN,{''}
3407,4,FK-PC101 has been produced for the subject and meets all release specifications.,{''}
3408,10,Currently on hormone therapy; OR,{''}
3409,14,Aspartate transaminase (AST) (serum glutamic-oxaloacetic transaminase \[SGOT\]) and alanine transferase (ALT) (serum glutamate pyruvate transaminase \[SGPT\]) =\< 2.5 X ULN OR =\< 5 X ULN for subjects with liver metastases (performed within 14 days of treatment initiation),{'liver'}
3410,23,Serum albumin \> 2.5 g/dL,{''}
3411,27,"Current use of non-FDA approved closed-loop or hybrid closed-loop insulin delivery system (e.g. ""Loop"" or ""Open APS"")",{''}
3412,44,English speaking,{''}
3413,47,"The participant has a study partner who in the PI's judgment can provide accurate information as to the participant's cognitive and functional abilities, who agrees to provide information at the study visits that require study partner input for scale completion, and who signs the necessary ICF, if applicable.",{''}
3414,49,Hemoglobin ≥ 8.0 g/dL,{''}
3415,58,"Aspartate aminotransferase/Serum Glutamic Oxaloacetic Transaminase (ASAT/SGOT)) and Alanine aminotransferase/Serum Glutamic Pyruvate Transaminase (ALAT/SGPT)) ≤ 2.5 x ULN, unless liver metastases are present in which case they must be ≤ 5 x ULN.",{''}
3416,64,Non-Autistic Child/Caregiver Participants (enrolled in a dyad with a participating therapist),{'Au'}
3417,73,"Adequate bone marrow, hepatic, and renal function, as assessed by the following laboratory requirements within 30 days before start of study treatment, as indicated below. Note that blood transfusions (red blood cells or platelets) and administration of G-CSF or GM-CSF are prohibited within 21 days prior to screening for the below bone marrow-related parameters.",{''}
3418,76,Presence of advanced colorectal cancer or metastatic cancer in other locations.,"{'advanced color ##ec ##tal cancer, meta ##static cancer'}"
3419,94,Residents of the area for at least 3 months prior to enrolment,{''}
3420,98,"Organ function requirements are not required for enrolled patients who are stage I, PFH and will not be receiving chemotherapy",{'P ##H'}
3421,118,"Participants may have had no more than one prior systemic therapy for RAI-refractory thyroid cancer, including lenvatinib, sorafenib, or other MKIs. This also includes chemotherapy and/or targeted therapy administered within a clinical trial, but does not include I-131 NaI or levothyroxine. Prior RET-specific kinase inhibitor therapy, such as selpercatinib and pralsetinib, is not allowed.",{'RA ##I - re ##fra ##ctor ##y thy ##roid cancer'}
3422,122,Participant has adequate venous access.,{''}
3423,130,Males of reproductive age must use a highly-effective contraceptive method during the treatment phase and for 3 months following last dose of study drug,{''}
3424,147,Patients who provided voluntary written consent to participate in this clinical trial.,{''}
3425,148,"If the participant and the participant's partner are of childbearing potential, they must agree to use medically accepted methods of contraception",{''}
3426,151,Cohort C/G Subjects with HER2 negative or unknown G/GEJ adenocarcinoma who have not received prior systemic chemotherapy. The subjects who have completed neoadjuvant or adjuvant chemotherapy within at least 6 months prior to the initial dosing of the study can be enrolled.,{'G / GE ##J ad ##eno ##car ##cin ##oma'}
3427,159,Serum albumin \>= 28 g/L,{''}
3428,161,Subjects must be able to comply with the dosing instructions for study drug administration and able to complete the study schedule of assessments.,{''}
3429,162,Creatinine ≤ 1.5 x institutional ULN OR glomerular filtration rate (GFR) ≥ 60 mL/min/1.73 m\^2,{''}
3430,185,Adequate pulmonary function.,{''}
3431,187,"Adequate organ function within 28 days prior to enrolment, as defined by",{''}
3432,189,"Pediatric solid tumors (including central nervous system \[CNS\] tumors) with known molecular alterations in the targets of XL184 (i.e., MET amplification, overexpression, activating mutation, MET translocation, MET exon skipping mutations, activating RET mutations, RET rearrangement, overexpression or activation of AXL); documentation of the alteration from a Clinical Laboratory Improvement Act (CLIA) certified laboratory will be required",{'central nervous system \\ [ C ##NS \\ ] tumors'}
3433,197,Depression Trial,{''}
3434,200,Personal history of corneal transplantation on the eye to be operated on,{''}
3435,205,"Group 1; mild (Class A); Child-Pugh score 5-6, inclusive",{''}
3436,221,Calculated creatinine clearance ≥ 40 mL/min,{''}
3437,234,"Liver function total bilirubin (TBIL≤1.5 ULN), alanine aminotransferase (ALT) and aspartate aminotransferase (AST) were all ≤2.5 ULN, and AST and ALT were both ≤5.0 ULN when liver metastasis was present;",{'liver'}
3438,258,"Cytopenia deemed due to disease involvement (hemoglobin \< 10, granulocyte count \< 1.5×10\^9/L, or platelet count \< 100×10\^9/L)",{'Cy ##top ##enia'}
3439,259,Myelosuppressive chemotherapy Patients must not have received within 14 days of entry onto this study,{''}
3440,261,Normal 12-lead electrocardiogram (ECG).,{''}
3441,265,The following laboratory values obtained ≤14 days prior to registration,{''}
3442,277,\> calculated (Cockcroft-Gault) or measured creatinine clearance \> 50 mL/min,{''}
3443,281,T599TT/TS,{''}
3444,293,D-penicillamine,{''}
3445,309,Hemoglobin ≥ 9 g/dL (without blood transfusion in the 2 weeks prior to treatment start),{''}
3446,326,Serum albumin ≥\<2.5 gr/dl (medication to correct serum albumin levels is permitted).,{''}
3447,327,NOTE Patients with only in-transit and/or satellite metastases without regional lymph node involvement are not eligible for this neoadjuvant study.,{''}
3448,340,"A patient of childbearing potential is defined as anyone, regardless of sexual orientation or whether they have undergone tubal ligation, who meets the following criteria 1) has achieved menarche at some point, 2) has not undergone a hysterectomy or bilateral oophorectomy; or 3) has not been naturally postmenopausal (amenorrhea following cancer therapy does not rule out childbearing potential) for at least 24 consecutive months (i.e., has had menses at any time in the preceding 24 consecutive months)","{'am, ##eno ##rr ##hea, cancer'}"
3449,343,Female patients must have a negative serum pregnancy test at screening. (Not applicable to patients with bilateral oophorectomy and/or hysterectomy or to those patients who are postmenopausal),{'h ##ec'}
3450,344,A male participant with a female partner of childbearing potential must agree to remain sexually abstinent or use condoms during the treatment period with MVX-ONCO-2 and for 60 days after the last treatment; and the patient must also refrain from donating sperm during this period.,{''}
3451,346,"At pre-ASCT evaluation patients must meet the International Neuroblastoma Response Criteria (INRC) for CR, VGPR, or PR for primary site, soft tissue metastases and bone metastases; patients who meet those criteria must also meet the protocol specified criteria for bone marrow response as outlined below","{'N, ##eur ##ob ##last ##oma'}"
3452,347,Patients must be able to swallow whole capsules; nasogastric or gastrointestinal (G)-tube administration is not allowed,{''}
3453,350,A WOCBP who agrees to follow the contraceptive guidance during the intervention period and for at least 20 weeks after the last dose of study intervention.,{''}
3454,356,Activated PTT (aPTT) ≤ 1.5 × ULN unless subject is receiving anticoagulant therapy as long as PT or PTT is within therapeutic range of intended use of anticoagulant,{''}
3455,358,Adequate organ function.,{''}
3456,361,Confirmed by staff review of Internet Connectivity Screening Guide with the participants and outcome recorded in a CRF,{''}
3457,362,No administration of granulocyte colony-stimulating factor is allowed within 1 week prior to screening assessment,{''}
3458,364,"In accordance with CCTG policy, ablative therapy to metastases is to begin within 6 weeks after patient randomization",{''}
3459,371,"Screening HCV genotype, demonstrating genotype 1",{'HC'}
3460,391,Plan to move out of the area within 6 months of enrollment,{''}
3461,415,Treatment with any investigational drug / device within 60 days prior to study entry,{''}
3462,416,"Self-reported ""very well"" comprehension of written and verbal English language",{''}
3463,426,Subject must avoid professional or facial spa procedures during the study.,{''}
3464,432,Modified Charlson Comorbidity Index \>= 1,{''}
3465,434,Patients screening through OPTION #1 are eligible to enroll anytime between diagnosis and 10 days post RT.,{''}
3466,440,Adequate renal function defined by the following laboratory results obtained within 11 days prior to first study treatment,{''}
3467,442,Male participants must agree to follow contraceptive guidance.,{''}
3468,458,"Note 2 Participants with hyperbilirubinemia due to non-hepatic cause (e.g., hemolysis, hematoma) may be enrolled following discussion and agreement with the medical monitor.","{'h ##yper ##bil ##ir ##ubi ##ne ##mia, hem ##oly ##sis, hem ##ato ##ma'}"
3469,482,Total bilirubin $1.5 x institutional upper limit of normal (ULN). Documented Gilbert syndrome is allowed if total bilirubin is $3 x ULN.,{'Gilbert syndrome'}
3470,513,"Possesses, or obtains prior to dispensing, wearable and visually functional (20/40 or better) eyeglasses.",{''}
3471,528,"For the duration of the study treatment period and for at least 90 days following the last dose of study drug female of childbearing potential (FCBP) who are sexually active must agree to employ effective contraceptive methods. Effective contraceptive methods include use of hormonal contraception or an intrauterine device (IUD) by the female partner, or use of condoms by the male partner. An FCBP is a sexually mature woman who 1) has not undergone a hysterectomy or bilateral oophorectomy; or 2) has not been naturally postmenopausal for at least 24 consecutive months (ie, has had menses at any time in the preceding 24 consecutive months).","{'FC, FC ##B'}"
3472,547,"The participant has a study partner who in the PI's judgment can provide accurate information as to the participant's cognitive and functional abilities, who agrees to provide information at the study visits that require study partner input for scale completion, and who signs the necessary ICF, if applicable.",{''}
3473,559,Organ Function Requirements,{''}
3474,566,Female patients of childbearing potential must have a negative pregnancy test within 14 days of radiation start.,{''}
3475,569,"Females of childbearing potential must have a negative serum pregnancy test within 7 days prior to registration. NOTE Females are considered of child bearing potential unless they are surgically sterile (have undergone a hysterectomy, bilateral tubal ligation, or bilateral oophorectomy) or they are naturally postmenopausal for at least 12 consecutive months",{''}
3476,4,An undetectable PSA (\<0.04 ng/mL) on the most recent test performed prior to randomization (Day -4 to -7).,{''}
3477,10,Post-menopausal ages 70-74 with either of the following two risk factors,{''}
3478,14,International normalized ratio (INR) or prothrombin time (PT) =\< 1.5 X ULN unless patient is receiving anticoagulant therapy (as long as PT or partial thromboplastin time \[PTT\] is within therapeutic range of intended use of anticoagulants) (performed within 14 days of treatment initiation),{''}
3479,23,Serum calcium \< 12 mg/dL or corrected serum calcium \< ULN,{''}
3480,27,Unwilling to switch to lispro or aspart for the duration of the study's iLet arm (e.g. from Fiasp or Lyumjev),{''}
3481,44,No history of arrhythmia or known cardiac dysfunction at baseline,"{'a, ##rr ##hy ##th ##mia, cardiac d ##ys ##function'}"
3482,47,"The participant agrees not to donate blood or blood products for transfusion from the time of Screening (V1) for a study drug arm, for the duration of the study, and for 5 half lives after the final dose of study drug.",{''}
3483,49,"Serum bilirubin ≤ 1.5 x institutional upper limit of normal (ULN). (Unless Gilbert's Syndrome, for which Bilirubin ≤ 3 x institutional upper limit of normal (ULN), without concurrent clinically significant liver disease) AST (SGOT)/ALT (SGPT) ≤ 3 x institutional upper limit of normal (ULN) unless liver metastases are present, in which case it must be ≤ 5x ULN.","{""Gilbert ' s S ##yn ##drome, liver disease""}"
3484,58,Serum creatinine ≤ 1.5 x institutional ULN and glomerular filtration rate of at least 40 ml/minute according to Cockroft-Gault formula.,{''}
3485,64,Child age 7-12 years,{''}
3486,73,Hemoglobin ≥9.0 g/dL,{''}
3487,76,"Previous radiotherapy, chemotherapy, or tumor immunotherapy.",{'tumor'}
3488,94,Parent/guardian's consent for minors,{''}
3489,98,Creatinine clearance or radioisotope glomerular filtration rate (GFR) \>= 70 mL/min/1.73 m\^2 OR serum creatinine based on age/gender as follows,{''}
3490,118,"At least 28 days must have passed since any prior radiation or major surgery. At least 28 days must have passed since any prior systemic therapy for thyroid cancer, excluding thyroid hormone replacement.",{'thy ##roid cancer'}
3491,130,"For COVID-19 vaccination, all participants will be strongly encouraged to be up-to-date with COVID-19 vaccine (s) as indicated by country-specific guidelines at least 2 weeks prior to the baseline visit (V0).",{''}
3492,148,HIV-infected participants on effective anti-retroviral therapy with undetectable viral load within 6 months are eligible for this trial.,{'HIV'}
3493,151,Cohort D The subjects with G/GEJ adenocarcinoma who have received at least prior first-line systemic chemotherapy; Cohort F The subjects with biliary neoplasm who have not received prior systematic chemotherapy. The subjects who have completed neoadjuvant or adjuvant chemotherapy within at least 6 months prior to the initial dosing of the study can be enrolled.,"{'G / GE ##J ad ##eno ##car ##cin ##oma, bi ##lia ##ry neo ##p ##las ##m'}"
3494,159,Lipase =\< 2 ULN,{''}
3495,162,International normalized ratio (INR) ≤ 1.5 x ULN,{''}
3496,185,Participant and/or the legal guardian who provided consent is willing for the participant to receive optimal supportive care.,{''}
3497,187,Hb ≥10 g/dl (packed red blood transfusion is acceptable up to 24 hours prior starting treatment);,{''}
3498,189,Note Documentation of any known tumor molecular alterations and RET mutation status for patients with MTC (germline) must be uploaded via the RAVE system,"{'tumor, M ##TC'}"
3499,197,Plan to move out of the area within 6 months of enrollment,{''}
3500,200,Medical contraindication to general or local anesthesia,{''}
3501,205,"Group 2; moderate (Class B); Child-Pugh score 7-9, inclusive",{''}
3502,221,"Bilirubin ≤ 1.5 × upper limit of normal (ULN); subjects with confirmed Gilbert's syndrome (persistent or recurrent hyperbilirubinemia that is predominantly unconjugated in the absence of hemolysis or hepatic pathology), may be allowed with sponsor-investigator approval.","{""Gilbert ' s syndrome, h ##yper ##bil ##ir ##ubi ##ne ##mia, hem ##sis, he, ##pa ##tic path""}"
3503,234,coagulation function international normalized ratio (INR) ≤1.5 and activated partial thromboplastin time (APTT) ≤1.5ULN;,{''}
3504,258,"In addition to meeting GELF criteria, must have at least one FDG-avid site on PET that measures 1.5 cm in at least one dimension of a nodal site or 1cm in at least one dimension for extranodal sites.",{'GE'}
3505,259,Investigational agent or any other anticancer therapy not defined above Patients must not have received any investigational agent or any other anticancer therapy (including MAPK pathway inhibitor) for at least 14 days prior to planned start of tovorafenib (DAY101),{''}
3506,261,"Able to read, understand, and provide written informed consent and applicable data protection authorization after the nature of the study has been fully explained, and must be willing to comply with all study requirements.",{''}
3507,265,Absolute neutrophil count (ANC) ≥1500/mm3,{''}
3508,277,"INR \< 1.5 and APTT normal, unless patient is on stable anti-coagulant treatment for at least two weeks with a low molecular weight heparin or coumarin, then an INR within the target range (usually between 2 and 3) is allowed.",{''}
3509,281,T599I/K,{''}
3510,293,Lobenzarit,{''}
3511,309,"All patients (males and females) of childbearing potential must agree to use medically effective contraception during the study and for 6 months after the last dose of study drugs. A negative urine or serum pregnancy test in women of childbearing potential is required within 72 hours prior to first dose of study medication. If the urine test is positive or cannot be confirmed as negative, a serum pregnancy test will be required.",{''}
3512,327,NOTE Determination of potential resectability must be made at baseline to be eligible for this neoadjuvant study.,{''}
